,Question,Answer,Label
678,how many presidents of the us,"There have been 43 people sworn into office, and 44 presidencies, as Grover Cleveland served two non-consecutive terms and is counted chronologically as both the 22nd and 24th president.",1
708,how old is beatrice author,"Beatrice ""Bea"" Arthur (May 13, 1922 – April 25, 2009) was an American actress, comedienne, and singer whose career spanned seven decades.",1
751,how are public schools funded,"State schools (also known as public schools or government schools) generally refer to primary or secondary schools mandated for or offered to all children without charge paid for, in whole or in part, by taxation .",1
752,how are public schools funded,"The term may also refer to institutions of post-secondary education funded, in whole or in part, and overseen by government.",1
776,what happens  to the light independent reactions of photosynthesis?,The light-independent reactions of photosynthesis are chemical reactions that convert carbon dioxide and other compounds into glucose .,1
778,what happens  to the light independent reactions of photosynthesis?,These reactions take the light-dependent reactions and perform further chemical processes on them.,1
806,what did mia hamm do his work,"Mariel Margaret ""Mia"" Hamm (born March 17, 1972) is a retired American professional soccer player.",1
837,what countries are under the buddhism religion,"This is the predominant form of Buddhism practiced in China, South Korea, Japan, Taiwan, Singapore, and Vietnam.",1
855,how did wild bill's father die,"He was shot and killed while playing poker in the Nuttal & Mann's Saloon in Deadwood , Dakota Territory (now South Dakota ).",1
860,how many land rovers have landed on mars,There have been four successful robotically operated Mars rovers.,1
864,how do forensic auditors examine financial reporting,"The audit opinion is intended to provide reasonable assurance, but not absolute assurance, that the financial statements are presented fairly, in all material respects, and/or give a true and fair view in accordance with the financial reporting framework.",1
865,how do forensic auditors examine financial reporting,"The purpose of an audit is provide and objective independent examination of the financial statements, which increases the value and credibility of the financial statements produced by management, thus increase user confidence in the financial statement, reduce investor risk and consequently reduce the cost of capital of the preparer of the financial statements.",1
866,how do forensic auditors examine financial reporting,Financial audits are typically performed by firms of practicing accountants who are experts in financial reporting.,1
906,What did the augurs use to interpret the will of the gods?,"His main role was to interpret the will of the gods by studying the flight of birds : whether they are flying in groups or alone, what noises they make as they fly, direction of flight and what kind of birds they are.",1
911,"What county is Farmington Hills, MI in?",It is the second largest city in Oakland County in the U.S. state of Michigan .,1
934,what does a groundhog look for on groundhog day,"According to folklore, if it is cloudy when a groundhog emerges from its burrow on this day, then spring will come early; if it is sunny, the groundhog will supposedly see its shadow and retreat back into its burrow, and the winter weather will continue for six more weeks.",1
982,What committees are joint committees,A Joint Committee is a term in politics that is used to refer to a committee made up of members of both chambers of a bicameral legislature.,1
994,how many stripes on the flag,The 50 stars on the flag represent the 50 states of the United States of America and the 13 stripes represent the thirteen British colonies that declared independence from the Kingdom of Great Britain and became the first states in the Union.,1
996,How many states and territories are within India?,India is a federal union of states comprising twenty-eight states and seven union territories .,1
1050,what county is galveston in texas,Galveston County is a county located in the U.S. state of Texas within the Houston–Sugar Land–Baytown metropolitan area.,1
1055,what cities are in the bahamas,Nassau,1
1056,what cities are in the bahamas,"Freeport, Bahamas",1
1060,how many schools are in the big ten,"Its twelve member institutions (which are primarily flagship research universities in their respective states, well-regarded academically, and with relatively large student enrollment) are located primarily in the Midwest , stretching from Nebraska in the west to Penn State in the east.",1
1066,how is single malt scotch made,"Single Malt Scotch is single malt whisky made in Scotland using a pot still distillation process at a single distillery , with malted barley as the only grain ingredient.",1
1067,how is single malt scotch made,"As with any Scotch whisky , a single malt Scotch must be distilled in Scotland and matured in oak casks in Scotland for at least three years (most single malts are matured longer).",1
1081,what composer used sound mass,"Composers and works include Barbara Kolb , Pauline Oliveros ' Sound Patterns for chorus (1961), Norma Beecroft 's From Dreams of Brass for chorus (1963–1964), and Nancy Van de Vate .",1
1084,what composer used sound mass,"A very early example is the opening of Jean-Féry Rebel 's ballet Les Elémens (1737–38), where chaos is represented by a gradually cumulating orchestral cluster of all seven notes of the D minor scale (Henck 2004, pp. 52–54).",1
1085,what composer used sound mass,A later example is the third movement of Ruth Crawford Seeger 's String Quartet 1931 (Nonesuch H-71280) while more recently Phill Niblock 's multiple drone based music serves as an example.,1
1086,what composer used sound mass,"The use of ""chords approaching timbres"" begins with Debussy and Edgard Varèse often carefully scored individual instrumental parts so that they would fuse into one ensemble timbre or sound mass (Erickson 1975, pp. 18 and 21).",1
1087,what composer used sound mass,"Other examples include European ""textural"" compositions of the fifties and sixties such as Krzysztof Penderecki 's Threnody to the Victims of Hiroshima (1959) and György Ligeti 's works featuring micropolyphony in works like Atmosphères (1961) and his Requiem (1963-65).",1
1088,what composer used sound mass,"Other composers with works using this technique include Henryk Górecki , Karel Husa , Witold Lutosławski , Kazimierz Serocki , and Steven Stucky .",1
1089,what composer used sound mass,Sound mass techniques also appear in the music of George Crumb (Anon. n.d.).,1
1095,what continent is australia,"Australia is a continent comprising mainland Australia , Tasmania , New Guinea , Seram , possibly Timor , and neighbouring islands.",1
1113,how many people live in atlanta georgia,"Atlanta (, stressed , locally ) is the capital of and the most populous city in the U.S. state of Georgia , with an estimated 2011 population of 432,427.",1
1114,how many people live in atlanta georgia,"Atlanta is the cultural and economic center of the Atlanta metropolitan area , home to 5,457,831 people and the ninth largest metropolitan area in the United States.",1
1147,what does it mean to be a commonwealth state,Commonwealth is a traditional English term for a political community founded for the common good.,1
1184,how long can you be in the supreme court,"Once appointed, justices have life tenure unless they resign, retire, or are removed after impeachment .",1
1185,what county in texas is conroe located in,Conroe is the seat of Montgomery County and falls within the metropolitan area.,1
1225,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,"Winning, or even being nominated for, an ARIA award results in a lot of media attention on an artist, and usually increases recording sales several-fold – in 2005 , for example, after Ben Lee won three awards, his album Awake Is the New Sleep jumped from No. 31 to No. 5 in the ARIA Charts , its highest position.",1
1260,how does a dredge work?,"Dredging is an excavation activity or operation usually carried out at least partly underwater, in shallow seas or fresh water areas with the purpose of gathering up bottom sediments and disposing of them at a different location.",1
1264,how does a dredge work?,"A dredger (or “dredge” as is the general usage in the Americas) is any device, machine, or vessel that is used to excavate and remove material from the bottom of a body of water.",1
1265,how does a dredge work?,"For example, a scoop attached to the end of a rope or pole by which a man can draw sediments up from the bottom of a pond is a dredger.",1
1266,how does a dredge work?,"Developing this idea further, a motorized crane equipped with a drag bucket or clamshell (grabber) that is used to scoop material from the bottom of a body of water is also a dredger.",1
1268,how does a dredge work?,"If the crane is mounted on a barge, the entire vessel is referred to as a dredger.",1
1304,what did benedict arnold die,"He returned to London to settle permanently in 1791, where he died ten years later.",1
1308,how many world series did curt schilling have,He helped lead the Philadelphia Phillies to the World Series in and won World Series championships in with the Arizona Diamondbacks and in and with the Boston Red Sox .,1
1343,how many ports are there in networking,"Of the thousands of enumerated ports, about 250 well-known ports are reserved by convention to identify specific service types on a host.",1
1345,what area code is 479,"Area code 479 is the telephone area code serving thirteen counties in northwest Arkansas , including the cities of Fort Smith , Fayetteville , Springdale , Rogers and Bentonville : the second, third, fourth, eighth and tenth-largest cities in the state, respectively.",1
1347,what area code is 479,"Area code 479 serves Benton , Carroll (split with area code 870 ), Crawford , Franklin , Johnson , Logan , Madison , Polk , Pope , Scott , Sebastian , Washington and Yell Counties in Arkansas.",1
1348,what does arraignment mean,Arraignment is a formal reading of a criminal charging document in the presence of the defendant to inform the defendant of the charges against him or her.,1
1360,what did chaucer do,"While he achieved fame during his lifetime as an author, philosopher, alchemist and astronomer , composing a scientific treatise on the astrolabe for his ten year-old son Lewis, Chaucer also maintained an active career in the civil service as a bureaucrat, courtier and diplomat.",1
1362,what did chaucer do,"Chaucer is a crucial figure in developing the legitimacy of the vernacular , Middle English , at a time when the dominant literary languages in England were French and Latin.",1
1373,what does am and pm stand for,"The 12-hour clock is a time convention in which the 24 hours of the day are divided into two periods: a.m. (from the Latin ante meridiem, meaning ""before midday"") and p.m. (post meridiem, ""after midday"").",1
1385,how is canada's health care,"A 2007 review of all studies comparing health outcomes in Canada and the US in a Canadian peer-reviewed medical journal found that ""health outcomes may be superior in patients cared for in Canada versus the United States, but differences are not consistent.""",1
1436,how do pineapples grow,"Pineapples may be cultivated from a crown cutting of the fruit, possibly flowering in 20–24 months and fruiting in the following six months.",1
1458,what country did wine originate in,"Archaeological evidence suggests that the earliest known wine production occurred in what is now the country of Georgia around 7000 BCE, with other notable sites in Greater Iran dated 4500 BCE and Armenia 4100 BCE, respectively.",1
1483,how many district are in west bengal,"In 1947, when India gained independence, the state of West Bengal was formed with 14 districts, as per partition plan of the then Bengal province of British India .",1
1504,how many towns in new hampshire,This is a list of the 221 towns and 13 cities in the U.S. state of New Hampshire .,1
1536,what does salesforce.com do?,"Though best known for its customer relationship management (CRM) product, Salesforce has also expanded into the ""social enterprise arena"" through acquisitions.",1
1554,what does 1 year mean to the planet,"During one orbit around the Sun, the Earth rotates about its own axis 366.26 times, creating 365.26 solar days , or one sidereal year .",1
1571,what is feedback mechanism in plants during respiration,"Cellular respiration is the set of the metabolic reactions and processes that take place in the cells of organisms to convert biochemical energy from nutrients into adenosine triphosphate (ATP), and then release waste products.",1
1594,how fire extinguisher works,"Cartridge-operated extinguishers contain the expellant gas in a separate cartridge that is punctured prior to discharge, exposing the propellant to the extinguishing agent.",1
1636,what countries are in central america?,"Central America consists of seven countries: Belize , Costa Rica , El Salvador , Guatemala , Honduras , Nicaragua , and Panama .",1
1661,how does a steam engine work,A steam engine is a heat engine that performs mechanical work using steam as its working fluid .,1
1672,how does a steam engine work,"Steam engines are external combustion engines , where the working fluid is separate from the combustion products.",1
1759,what county is tacoma washington in,"Tacoma (, ) is a mid-sized urban port city and the county seat of Pierce County, Washington , United States.",1
1784,what county is chula vista ca in,"As the second largest city in San Diego County , Chula Vista has quickly become a destination popular to many tourists.",1
1797,what did isaac newton do,Sir Isaac Newton (25 December 164220 March 1727) was an English physicist and mathematician who is widely regarded as one of the most influential scientists of all time and as a key figure in the scientific revolution .,1
1813,what does the universal law of gravitation state,Newton's law of universal gravitation states that every point mass in the universe attracts every other point mass with a force that is directly proportional to the product of their masses and inversely proportional to the square of the distance between them.,1
1834,how many US soldiers killed in Iraq war,"A total of 4,486 U.S. soldiers were killed in Iraq between 2003 and 2012.",1
1907,how many professional hockey teams in canada,"It started with four teams and, through a series of expansions, contractions, and relocations, the league is now composed of 30 active franchises.",1
1932,what county is northville mi,Northville is an affluent city located in and divided by Oakland and Wayne counties in the U.S. state of Michigan .,1
1935,what county is northville mi,"Most of the city is in Oakland County, and is surrounded by the city of Novi .",1
1960,how many games did brett favre start in a row,"He has led teams to eight division championships ( 1995 , 1996 , 1997 , 2002 , 2003 , 2004 , 2007 , 2009 ), five NFC Championship Games ( 1995 , 1996 , 1997 , 2007 , 2009 ), and two Super Bowl appearances ( Super Bowl XXXI , Super Bowl XXXII ), winning one (Super Bowl XXXI).",1
1978,what does a vote to table a motion mean?,"In the United States, to table usually means the to lay [the topic] on the table or to move for postponement of consideration; a proposal to suspend consideration of a pending motion.",1
2010,What does the class mean for SDHC cards?,"The four families are the original Standard-Capacity (SDSC), the High-Capacity ( SDHC ), the eXtended-Capacity ( SDXC ), and the SDIO , which combines input/output functions with data storage.",1
2149,what do porcupines eat,"It eats leaves, herbs, twigs and green plants like skunk cabbage and clover and in the winter it may eat bark.",1
2157,what did elijah mccoy invent,"Elijah J. McCoy (May 2, 1844 – October 10, 1929) was a black Canadian-American inventor and engineer, who was notable for his 57 U.S. patents , most to do with lubrication of steam engines.",1
2189,how many apple store are there in total?,", Apple has 405 stores worldwide, with global sales of billion in merchandise in 2011, and they lead the United States retail market in terms of sales per unit area .",1
2220,What does the idea of effective nuclear charge tell us,"The term ""effective"" is used because the shielding effect of negatively charged electrons prevents higher orbital electrons from experiencing the full nuclear charge by the repelling effect of inner-layer electrons.",1
2231,what domain is eu,.eu is the country code top-level domain (ccTLD) for the European Union (EU).,1
2236,"What does the name ""Meister"" mean in German","Meister means master in German (as in master craftsman , or as an honorific title such as Meister Eckhart ).",1
2271,How did Edgar Allan Poe die?,"On October 7, 1849, at age 40, Poe died in Baltimore; the cause of his death is unknown and has been variously attributed to alcohol, brain congestion, cholera , drugs, heart disease, rabies , suicide, tuberculosis, and other agents.",1
2299,how many seasons heroes,"Four complete seasons aired, ending on February 8, 2010.",1
2347,what holiday is first weekend of september,"Labor Day is an American federal holiday observed on the first Monday in September, that celebrates the economic and social contributions of workers.",1
2348,what does life insurance cover?,"Life insurance is a contract between an insured (insurance policy holder) and an insurer , where the insurer promises to pay a designated beneficiary a sum of money (the ""benefits"") upon the death of the insured person.",1
2349,what does life insurance cover?,"Depending on the contract, other events such as terminal illness or critical illness may also trigger payment.",1
2355,what does life insurance cover?,"Protection policies – designed to provide a benefit in the event of specified event, typically a lump sum payment.",1
2361,how many days does the chinese new year last,9 – 12 February (Vietnam),1
2379,how many consoles has xbox 360 sold,"As of September 30, 2012, 70 million Xbox 360 consoles have been sold worldwide.",1
2399,how is a backpack made,"The bag itself was made up of different animal hide and skin (depending on what sorts of animals were in the area) and sewn together by the intestines of said animals, which were woven together tightly to make a sturdy thread-like material.",1
2400,WHAT COUNTRY IS MEXICO IN,"Mexico (; ; ), officially the United Mexican States (), is a federal constitutional republic in North America.",1
2420,how is slugging percentage calculated,It is calculated as total bases divided by at bats :,1
2440,what cheese is made from goat's milk,"Goat cheese, or chèvre (from the French word for goat), is cheese made out of the milk of goats .",1
2450,what country is belize in,"Belize , is a country located on the northeastern coast of Central America.",1
2465,how many stars on the first american flag,The flag was designed during the American Revolution and features 13 stars to represent the original 13 colonies .,1
2480,how does a cat purr,"However, using a strict definition of purring that continuous sound production must alternate between pulmonic egressive and ingressive airstream (and usually go on for minutes), Peters (2002), in an exhaustive review of the scientific literature, reached the conclusion that until then only ‘purring cats’ (Felidae) and two species of genets , Genetta tigrina, and most likely also Genetta genetta, had been documented to purr.",1
2490,what county is St. Elizabeth MO in,"St. Elizabeth is a village in Miller County , Missouri , United States .",1
2492,what county is wilton ca in,"Wilton is a census-designated place (CDP) in Sacramento County , California , United States .",1
2519,what happened to stevie ray vaughan,"On August 27, 1990, Vaughan was killed in a helicopter crash following a performance in East Troy, Wisconsin .",1
2541,how many gold gloves does barry larkin have,"Larkin is considered one of the top players of his era, winning nine Silver Slugger awards and three Gold Glove awards .",1
2570,what caused ww,"The causes of World War I , which began in central Europe in late July 1914 and finished in 1918, included many factors, such as the conflicts and hostility of the four decades leading up to the war.",1
2643,what kind of legal remedy is it to ask someone to fulfill there promise,"The word promise can be used as a legal synonym for contract, although care is required as a promise may not have the full standing of a contract, as when it is an agreement without consideration .",1
2647,how is ASP.NET different from .NET,ASP.NET is a server-side Web application framework designed for Web development to produce dynamic Web pages .,1
2652,how does lsd impact the human body,"Lysergic acid diethylamide, abbreviated LSD or LSD-25, also known as lysergide ( INN ) and colloquially as acid, is a semisynthetic psychedelic drug of the ergoline family, well known for its psychological effects which can include altered thinking processes, closed and open eye visuals, synesthesia , an altered sense of time and spiritual experiences , as well as for its key role in 1960s counterculture .",1
2654,how does lsd impact the human body,"LSD is non-addictive, is not known to cause brain damage, and has extremely low toxicity relative to dose .",1
2655,how does lsd impact the human body,"However, adverse psychiatric reactions such as anxiety, paranoia, and delusions are possible.",1
2692,how many people live in memphis tennessee,"Memphis had a population of 672,277 in 2011 making it the largest city in the state of Tennessee , the largest city on the Mississippi River , the third largest in the Southeastern United States , and the 20th largest in the United States.",1
2708,how many muscles in the human body,"There are approximately 642 skeletal muscles within the typical human, and almost every muscle constitutes one part of a pair of identical bilateral muscles, found on both sides, resulting in approximately 320 pairs of muscles, as presented in this article.",1
2719,how did seminole war end,"Ultimately, the Spanish Crown ceded the colony to United States rule.",1
2720,what county is orono maine in,"Orono is a town in Penobscot County , Maine , United States .",1
2731,what it is a pilot study,"A pilot experiment, also called a pilot study, is a small scale preliminary study conducted in order to evaluate feasibility, time, cost, adverse events, and effect size (statistical variability) in an attempt to predict an appropriate sample size and improve upon the study design prior to performance of a full-scale research project.",1
2787,what chili wants wiki,"What Chilli Wants is an American reality series on VH1 starring Chilli , one-third of the Grammy Award -winning R&B trio TLC .",1
2829,what division is boise state football,The Boise State Broncos football program represents Boise State University in college football and compete in the Football Bowl Subdivision (FBS) of Division I as a member of the Mountain West Conference .,1
2872,"What does the term ""mens rea"" mean","Mens rea is Latin for ""guilty mind"".",1
2916,what do UA's detect,"A drug test is a technical analysis of a biological specimen – for example urine, hair, blood, sweat, or oral fluid / saliva – to determine the presence or absence of specified parent drugs or their metabolites .",1
2960,how much caffeine is in a shot of espresso,"Espresso has more caffeine per unit volume than most beverages, but the usual serving size is smaller—a typical 60 mL (2 US fluid ounce ) of espresso has 80 to 150 mg of caffeine, little less than the 95 to 200 mg of a standard 240 mL (8 US fluid ounces ) cup of drip-brewed coffee.",1
2976,how did the penguins acquire sidney crosby,Crosby was drafted first overall by the Penguins out of the Quebec Major Junior Hockey League (QMJHL).,1
2995,what does add my two cents mean,"My two cents (2¢) and its longer version ""put my two cents in"" is an United States (US) idiomatic expression, taken from the original English idiom expression: to put in ""my two pennies worth"" or ""my tuppence worth.""",1
3037,how much total wealth in USA,"Including human capital such as skills, the United Nations estimated the total wealth of the United States in 2008 to be $118 trillion.",1
3083,how was the moon formed,"The Moon is thought to have formed nearly 4.5 billion years ago, not long after the Earth.",1
3084,how was the moon formed,"Although there have been several hypotheses for its origin in the past, the current most widely accepted explanation is that the Moon formed from the debris left over after a giant impact between Earth and a Mars -sized body.",1
3102,what did ronald reagan do as president,"As president, Reagan implemented sweeping new political and economic initiatives.",1
3122,how many presidents have been assassinated,"Four sitting presidents have been killed: Abraham Lincoln (the 16th President), James A. Garfield (the 20th President), William McKinley (the 25th President) and John F. Kennedy (the 35th President).",1
3134,what does oklahoma produce,"A major producer of natural gas , oil , and agriculture, Oklahoma relies on an economic base of aviation, energy, telecommunications, and biotechnology .",1
3143,how many redwall books are there,There have been twenty-two novels and two picture books published.,1
3177,what date did the american civil war start,"Hostilities began on April 12, 1861, when Confederate forces fired upon Fort Sumter , a key fort held by Union troops in South Carolina.",1
3194,what does bruce jenner do,"William Bruce Jenner (born October 28, 1949) is a former U.S. track and field athlete , motivational speaker , socialite , television personality and businessman .",1
3209,what area code is 217,Area code 217 is the North American telephone area code for much of western and central Illinois .,1
3210,what area code is 217,"The 217 area includes Illinois' capital , Springfield , plus Champaign , Urbana , Decatur , Danville , Quincy , and Rantoul .",1
3257,How many consecutive games did Ken Jennings win?,"In 2004, Jennings won 74 Jeopardy!",1
3322,"what county is jennings, la","Jennings is a small city in and the parish seat of Jefferson Davis Parish , Louisiana , United States , near Lake Charles .",1
3338,how does nanotechnology affect health,"Nanotechnology may be able to create many new materials and devices with a vast range of applications , such as in medicine , electronics , biomaterials and energy production.",1
3360,how much does united states spend on health care,"According to the World Health Organization (WHO), the United States spent more on health care per capita ($7,146), and more on health care as percentage of its GDP (15.2%), than any other nation in 2008.",1
3408,what does it take to start a lodge in freemason,"Every new Lodge must be warranted or chartered by a Grand Lodge, but is subject to its direction only in enforcing the published Constitution of the jurisdiction.",1
3419,how does black pepper grow,"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae , cultivated for its fruit , which is usually dried and used as a spice and seasoning .",1
3444,how south african leaders are elected,"The President is elected by members of the National Assembly , the lower house of Parliament , and is usually the leader of the largest party, which has been the African National Congress since the first non-racial elections were held on 27 April 1994.",1
3470,how was the phone invented,"The invention of the telephone is the culmination of work done by many individuals, the history of which involves a collection of claims and counterclaims.",1
3492,how many died in hiroshima and nagasaki,"Within the first two to four months of the bombings, the acute effects killed 90,000–166,000 people in Hiroshima and 60,000–80,000 in Nagasaki, with roughly half of the deaths in each city occurring on the first day.",1
3516,how did mohammed gandhi die,He was assassinated on 30 January 1948 by Nathuram Godse who thought Gandhi was too sympathetic to India's Muslims.,1
3550,how many users do twitter have,"The service rapidly gained worldwide popularity, with over 500 million registered users as of 2012, generating over 340 million tweets daily and handling over 1.6 billion search queries per day.",1
3616,what kind of books does debbie macomber writes,"Debbie Macomber (born October 22, 1948 in Yakima, Washington ) is a best-selling American author of over 150 romance novels and contemporary women's fiction.",1
3619,what county is catonsville md in,"Catonsville is a census-designated place (CDP) in Baltimore County , Maryland , United States.",1
3628,what does the family leave act,The Family and Medical Leave Act of 1993 (FMLA) is a United States federal law requiring covered employers to provide employees job-protected and unpaid leave for qualified medical and family reasons.,1
3629,what does the family leave act,"Qualified medical and family reasons include: personal or family illness, family military leave, pregnancy , adoption , or the foster care placement of a child.",1
3653,how did the vietnam war end,"The capture of Saigon by the Vietnam People's Army in April 1975 marked the end of the war, and North and South Vietnam were reunified the following year.",1
3672,How is the pothole formed,"A pothole (sometimes called a kettle and known in parts of the Western United States as a chuckhole) is a type of disruption in the surface of a roadway where a portion of the road material has broken away, leaving a hole.",1
3677,how much more time does chemo give to people with renal cancer,"Where the tumor is confined to the renal parenchyma, the 5-year survival rate is 60-70%, but this is lowered considerably where metastases have spread.",1
3680,what does estee lauder do,"Estée Lauder Companies, Inc. is a manufacturer and marketer of prestige skincare, makeup, fragrance and hair care products.",1
3692,how does a solid state drive work,It uses an external power supply to make the DRAM non-volatile.,1
3693,how does a solid state drive work,"A solid-state drive (SSD) (also known as a solid-state disk or electronic disk, though it contains no actual ""disk"" of any kind) is a data storage device using integrated circuit assemblies as memory to store data persistently .",1
3747,how long did the roman empire last,"The 500-year-old Roman Republic , which preceded it, had been destabilized through a series of civil wars .",1
3784,how much does U.S. pay on health care per person,"In 2006, per-capita spending for health care in Canada was US$3,678; in the U.S., US$6,714.",1
3804,what creates sonic boom,A sonic boom is the sound associated with the shock waves created by an object traveling through the air faster than the speed of sound.,1
3825,how is rfid tag powered,Some tags are powered and read at short ranges (a few meters) via magnetic fields ( electromagnetic induction ).,1
3826,how is rfid tag powered,"Others use a local power source such as a battery, or else have no battery but collect energy from the interrogating EM field, and then act as a passive transponder to emit microwaves or UHF radio waves (i.e., electromagnetic radiation at high frequencies).",1
3827,how is rfid tag powered,Battery powered tags may operate at hundreds of meters.,1
3908,what city is oregon state university in,"Oregon State University (OSU) is a coeducational , public research university located in Corvallis , Oregon , United States .",1
3924,how long have kanab ambersnail been endangered?,It has been listed as endangered on the United States Fish and Wildlife Service list of endangered species since 8 August 1991.,1
3930,how many spanish speaking people are there in the us,"According to the 2010 American Community Survey conducted by the U.S. Census Bureau , Spanish is the primary language spoken at home by almost 37 million people aged five or older, a figure more than double that of 1990.",1
3936,what does (sic) mean?,"is a Latin word that means ""thus"" or, in writing, ""it was thus in the source material"".",1
3984,how does sedimentary rock form,Sedimentary rocks are types of rock that are formed by the deposition of material at the Earth 's surface and within bodies of water.,1
3997,how many bones are in the skeletal system is composed of 306 bones,"Humans are born with over 270 bones, some of which fuse together into a longitudinal axis, the axial skeleton , to which the appendicular skeleton is attached.",1
4008,what did st.patrick do,"He is generally credited with being the first bishop of Armagh , Primate of All Ireland .",1
4015,how do you know if something is the golden ratio,"In mathematics and the arts , two quantities are in the golden ratio if the ratio of the sum of the quantities to the larger quantity is equal to the ratio of the larger quantity to the smaller one.",1
4025,What county is NOrth Myrtle Beach in SC,"North Myrtle Beach is a coastal resort city in Horry County , South Carolina , United States .",1
4071,How is a computer used?,A computer is a general purpose device that can be programmed to carry out a finite set of arithmetic or logical operations.,1
4083,what does barefoot and pregnant mean,Barefoot and pregnant is a phrase most commonly associated with the controversial idea that women should not work outside the home and should have many children during their reproductive years.,1
4091,"what county is oakhurst, nj in","Oakhurst is a census-designated place and unincorporated community within Ocean Township , in Monmouth County , New Jersey , United States.",1
4103,What did Lawrence Joshua Chamberlain do?,"Joshua Lawrence Chamberlain (September 8, 1828 – February 24, 1914), born as Lawrence Joshua Chamberlain, was an American college professor from the State of Maine , who volunteered during the American Civil War to join the Union Army .",1
4124,what causes a deficiency in adenosine deaminase,"Adenosine deaminase deficiency, also called ADA deficiency or ADA-SCID, is an autosomal recessive metabolic disorder that causes immunodeficiency .",1
4155,how is human height measured,"Human height is the distance from the bottom of the feet to the top of the head in a human body , standing erect.",1
4191,what does a timing belt do,"Timing belt (camshaft) , a toothed belt used to drive the camshaft(s) within an internal combustion engine",1
4245,what countries legalize marijuana,"Furthermore, possession is legal or effectively legal in the Netherlands , North Korea and would be in the U.S. states of Colorado and Washington if it were not for federal law, which governs persons in all states.",1
4297,how many albums has dmx sold to this date,"DMX has sold over 30 million records worldwide, making him one of the best-selling hip-hop artists of all time.",1
4311,what do mucous membranes secrete,"The sticky, thick fluid secreted by the mucous membranes and glands is termed mucus .",1
4331,what county is Cambria WI in,"Cambria is a village in Columbia County , Wisconsin , United States .",1
4334,how is public policy created,Public policy is the principled guide to action taken by the administrative executive branches of the state with regard to a class of issues in a manner consistent with law and institutional customs .,1
4363,how many wives did henry the 8th have,"Besides his six marriages, Henry VIII is known for his role in the separation of the Church of England from the Roman Catholic Church.",1
4376,what country are bongo drums from?,Bongos (Spanish: bongó) are an Afro-Cuban percussion instrument .,1
4380,how many books in bible,Christian Bibles range from the sixty-six books of the Protestant canon to the eighty-one books of the Ethiopian Orthodox Tewahedo Church canon.,1
